gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,CTRL_7,CTRL_8,CTRL_9,CTRL_10,TREAT_1,TREAT_2,TREAT_3,TREAT_4,TREAT_5,TREAT_6,TREAT_7,TREAT_8,TREAT_9,TREAT_10
GENE_026,158.04,199.10,108.20,74.30,623.62,1687.68,1983.00,25.31,639.98,2497.82,193.98,568.53,178.90,155.85,23.02,7051.26,175.14,2148.32,22.42,755.21
GENE_027,233.76,39.10,1248.34,134.07,95.94,253.41,180.55,250.37,979.53,302.18,63.56,3758.00,4995.12,105.26,8.57,713.89,168.35,448.65,147.43,3311.07
GENE_028,124.36,929.26,997.91,3784.55,307.71,153.52,203.88,2337.96,3218.40,6205.32,217.52,409.95,790.21,475.40,3779.61,3071.20,1641.51,316.31,267.22,332.88
GENE_029,741.36,5880.10,1387.89,92.15,133.52,256.03,3142.78,1307.11,1901.39,206.10,51.34,282.92,980.28,2842.67,927.44,1500.45,218.75,252.03,475.32,215.58
GENE_030,696.30,650.72,75.17,3973.76,100.98,1842.51,155.19,484.27,351.74,22.60,657.90,66.49,7.36,2653.52,135.90,21.55,25808.21,1844.10,228.89,119.58
GENE_031,873.07,11.30,79.65,172.72,585.58,2404.07,652.19,680.74,106.73,217.95,3976.28,723.03,211.91,795.86,164.54,567.05,153.51,8560.48,60.47,352.64
GENE_032,566.04,3666.65,56.84,167.10,430.55,2079.62,24565.33,156.31,288.55,12486.57,496.73,85.23,1014.43,489.03,110.13,1331.66,1104.75,208.71,2821.34,40.26
GENE_033,328.23,449.86,4283.20,127.85,968.99,1037.47,1675.27,1182.86,937.82,226.89,1221.49,1471.89,3413.50,75.59,148.05,666.06,773.43,859.89,113.25,111.00
GENE_034,402.27,8190.52,140.18,37.64,386.29,519.50,1066.97,9.18,12.85,2249.46,69.28,2139.77,280.90,436.47,92.47,438.62,14.01,254.30,561.33,860.21
GENE_035,175.36,1105.43,6765.71,691.78,120.49,502.26,139.95,4802.08,388.91,158.21,101.40,30.01,1038.20,52.88,796.86,1974.10,548.85,208.90,3914.39,444.45
GENE_036,830.13,285.76,7303.02,442.06,988.02,2018.67,57.27,419.62,7730.03,23.88,205.97,1520.05,781.23,1313.29,164.91,433.22,538.80,864.38,56.80,241.61
GENE_037,409.36,29.80,1693.79,26.35,539.07,3106.85,1721.81,385.14,97.19,694.95,205.14,167.56,253.34,236.41,181.32,78.64,567.87,361.49,1504.17,4843.43
GENE_038,2719.49,2909.17,1180.97,720.28,236.09,397.01,54.87,150.72,4280.90,1439.14,585.69,605.22,125.91,1648.08,1106.21,470.12,79.33,379.01,4377.10,858.80
GENE_039,967.64,837.47,48.74,141.08,593.90,1129.35,323.84,1528.97,1867.60,182.62,771.16,18.68,623.71,383.37,215.21,153.23,468.24,177.22,263.77,69.21
GENE_040,825.51,45.65,55.14,6199.51,932.08,3486.13,220.74,105.02,859.73,8687.96,19.58,60.12,21.36,60.35,326.13,1830.68,1190.15,362.15,227.89,444.96
GENE_041,17.43,475.58,91.43,129.99,886.30,1315.76,938.14,250.06,248.32,779.02,283.08,61.83,2336.30,200.34,35.52,35.96,274.29,2357.34,2761.01,1018.13
GENE_042,64.65,471.58,2787.86,69.79,252.50,185.56,10943.21,2588.98,1128.78,7267.79,677.94,579.24,5560.52,343.56,51.71,2521.06,236.20,4155.91,13.77,2386.96
GENE_043,763.27,210.03,267.97,1017.06,362.66,656.83,360.52,513.29,1211.38,34.81,306.98,674.32,164.45,6077.09,115.25,252.36,141.76,1450.73,691.06,7389.56
GENE_044,128.75,84.42,368.83,592.32,1853.07,1311.56,171.97,308.87,201.07,3938.69,63.62,2972.12,161.72,792.08,429.87,368.62,16.80,96.70,1219.96,18.29
GENE_045,5297.22,1983.72,135.71,2790.59,281.71,153.88,6383.97,2768.05,155.26,401.69,1981.17,456.68,369.50,88.75,430.84,3702.43,413.49,430.59,586.62,396.92
GENE_046,1375.94,683.31,287.23,33.04,6952.75,214.44,632.21,476.87,395.30,3954.72,27.99,675.09,216.18,270.36,69.60,604.04,929.53,91.18,1345.67,424.24
GENE_047,422.08,241.48,69.99,40204.14,7448.87,138.13,14.41,4002.68,878.65,81.52,274.64,214.98,826.15,568.81,45.89,410.40,58.51,702.35,361.45,190.10
GENE_048,403.74,240.00,228.79,851.55,584.24,1159.09,3900.27,531.11,74.16,1053.64,4124.82,818.91,66.23,489.89,233.28,269.53,505.34,325.04,345.99,72.68
GENE_049,2363.54,127.06,1753.29,501.99,1380.82,72.04,156.95,340.14,168.94,284.12,90.65,380.99,309.25,298.04,169.88,696.71,826.80,106.42,1627.98,143.87
GENE_050,93.96,389.05,270.77,3346.92,56.58,85.61,244.63,285.62,183.25,1891.95,126.95,143.91,62.96,3771.07,550.27,73.45,2150.34,2601.03,525.63,193.79
GENE_051,67.45,99.77,80.46,290.82,335.46,233.80,434.88,2502.73,817.45,8.04,137.92,2797.61,124.11,1969.47,628.15,1136.13,154.22,169.59,7.76,2016.71
GENE_052,2330.32,82.43,100.02,1214.80,10114.20,18869.17,44.08,5199.21,215.00,834.68,287.91,48.15,101.75,4863.07,772.04,24.66,925.38,3810.65,307.54,5009.80
GENE_053,489.61,160.42,802.31,281.01,140.97,519.89,398.48,2804.03,50.43,37.49,199.11,176.96,450.73,354.73,216.64,72.57,1501.24,404.44,37.11,1094.72
GENE_054,1413.71,430.49,757.40,1175.03,100.53,222.55,8602.36,55.67,582.50,42.38,1342.35,2028.50,2506.97,390.67,485.38,196.98,556.28,1484.98,39.10,2564.09
GENE_055,322.49,146.53,1329.00,474.27,646.94,2744.72,37.13,70.66,57.84,1230.78,306.93,860.61,412.19,2058.59,723.22,64.87,54.01,1997.34,149.82,1092.50
GENE_056,207.38,130.83,659.61,1196.04,893.15,526.19,1306.32,464.23,1364.84,609.52,668.65,3172.12,359.44,100.15,444.05,23.13,4975.61,1199.24,169.19,3307.60
GENE_057,32421.17,147.60,185.36,1132.00,22.81,7162.86,203.48,304.73,520.35,256.82,115.94,379.92,1382.64,158.70,415.56,97.00,372.39,312.45,351.31,349.73
GENE_058,330.84,121.19,31.06,659.54,151.50,289.04,14.52,472.70,94.39,3110.47,832.88,5133.58,66.80,155.53,642.21,2085.74,222.40,641.67,153.89,129.56
GENE_059,56.88,4688.48,108.83,104.34,152.55,141.50,677.49,46.29,74.85,35.81,340.21,178.53,25.56,55.68,315.81,1212.51,872.18,997.34,685.35,133.18
GENE_060,255.66,685.88,112.79,524.35,5438.27,128.58,2300.98,78.25,970.12,33.94,46.37,1119.63,4682.90,1012.72,885.56,2391.02,1767.79,457.55,750.67,582.21
GENE_061,864.65,860.11,107.67,455.25,141.23,62.43,3375.38,142.10,2377.25,1037.55,1011.48,1066.23,71.92,7825.28,1635.28,1056.56,216.67,1709.76,138.68,1453.51
GENE_062,562.88,63.38,2264.73,183.53,310.62,120.03,31.64,184.13,104.80,99.07,0.33,891.44,564.56,226.77,109.86,1211.99,110.39,87.80,28.22,3343.86
GENE_063,201.00,1365.88,690.65,50.76,490.56,526.03,1863.55,316.61,469.23,208.70,479.69,447.13,251.76,2105.47,147.68,19243.67,476.91,41.27,111.00,850.38
GENE_064,521.01,331.97,223.86,1903.94,254.37,165.21,1044.95,44.56,183.51,374.96,106.82,9196.36,390.19,57.64,301.28,261.15,141.22,1026.48,1023.30,376.94
GENE_065,827.24,11101.18,545.80,270.51,496.29,930.98,1314.73,2251.62,899.48,3059.80,1412.85,4292.14,20.72,191.79,514.83,104.48,342.14,332.97,5076.37,108.79
GENE_066,188.84,535.83,73.08,1495.38,250.25,563.19,26.44,320.56,150.45,1648.38,56.42,643.34,1093.26,582.97,507.75,898.95,504.77,296.50,150.12,112.10
GENE_067,4108.30,115.23,6986.56,508.44,7437.94,936.58,488.36,1649.04,4038.54,4914.99,276.63,12094.12,113.41,5852.04,894.53,417.36,147.41,1347.82,5203.93,1202.72
GENE_068,2221.45,31.87,2557.59,350.33,38.27,1604.84,3331.05,395.81,1419.13,83.46,57.46,144.49,56.09,5033.03,312.39,104.67,59.65,271.99,163.99,22.75
GENE_069,146.73,2209.74,1305.92,2942.10,2162.65,650.06,77.08,984.02,409.15,610.49,11167.97,1419.63,8490.28,154.07,114.96,489.48,1328.15,614.43,789.47,7734.17
GENE_070,762.15,176.05,357.74,3854.44,538.14,431.74,40.32,2381.50,550.86,10822.39,1672.65,7396.39,96.61,291.48,196.54,4707.63,1110.27,459.95,334.39,2135.91
GENE_071,93.36,84.73,167.76,124.48,381.16,39.31,180.60,2349.88,11434.20,69.94,1143.56,1277.21,113.32,353.30,1028.98,261.62,354.11,1351.40,56.95,768.77
GENE_072,108.00,4151.01,1445.10,1813.14,178.00,1398.61,55.94,163.38,230.01,553.98,205.53,166.36,4242.35,1726.36,3271.12,9275.81,17.84,300.21,6443.25,3669.61
GENE_073,1687.45,100.98,236.27,347.99,2412.54,114.57,569.75,31.64,371.42,276.53,61.90,14705.68,454.02,32583.46,3148.15,257.73,796.14,88.71,303.95,918.97
GENE_074,680.91,1365.32,1080.93,5355.27,1332.91,2129.34,114.92,87.77,765.41,354.87,263.31,1936.89,197.63,123.80,67.07,3391.74,209.62,106.32,886.98,207.76
GENE_075,1496.94,864.98,378.72,224.43,485.47,2504.46,666.60,1682.50,3844.06,142.16,1468.44,45.37,1059.27,3627.55,2181.45,118.58,822.59,546.19,1301.15,907.95
GENE_076,379.48,521.77,1734.88,3594.27,375.88,219.99,177.97,478.63,897.28,325.52,882.82,5471.56,715.53,634.99,4412.49,481.16,478.89,400.24,796.39,184.93
GENE_077,1784.43,57.15,97.23,363.49,8305.54,534.17,2036.70,21.75,699.66,484.03,414.91,210.88,77.83,198.08,12.38,123.06,50.56,2099.04,68.63,803.38
GENE_078,1688.54,131.42,75.49,401.23,1836.16,498.89,328.11,50147.16,602.12,340.97,1443.30,852.83,1841.72,35.57,359.71,1334.22,126.01,1426.88,934.97,889.03
GENE_079,86.63,56.95,81.92,128.13,816.93,206.96,168.32,13.09,46.11,355.58,21.33,329.86,392.67,8536.12,155.24,4520.24,2844.34,379.66,178.24,174.54
GENE_080,94.04,128.09,419.27,2719.86,35.05,390.98,1089.11,127.62,221.07,64.43,289.05,79.12,540.53,391.83,259.77,98.36,192.71,84.19,1109.30,126.72
GENE_081,1486.47,1205.57,121.10,184.38,178.47,1638.02,1900.81,11.67,411.59,1131.58,1337.33,1280.24,7233.20,1361.40,14.19,123.47,3.95,172.81,6614.17,112.39
GENE_082,235.83,415.62,25745.38,272.53,1375.70,785.17,212.05,113.24,176.36,252.98,29.90,191.32,52.74,182.27,58.80,464.21,122.37,6184.67,120.77,153.49
GENE_083,1018.27,5647.87,670.79,549.37,867.85,446.02,189.77,1470.94,86.93,244.88,60.46,18.25,1225.42,326.65,280.30,1034.73,183.15,115.84,627.21,396.22
GENE_084,15.62,4170.18,15688.04,340.65,170.72,166.01,324.03,1175.44,887.55,78.27,73.32,30031.01,92.39,2410.83,78.53,1130.36,3559.82,1588.78,9749.09,228.35
GENE_085,3504.96,3617.89,64.89,3514.14,375.18,189.28,386.24,1450.74,1176.31,2268.78,76.97,43.82,1957.46,1658.41,749.33,81.81,5633.07,234.65,97.76,881.30
GENE_086,663.12,9.64,1136.75,211.47,1464.75,1735.86,726.40,1732.55,2213.96,230.91,544.87,101.56,247.11,154.90,178.74,1815.39,5304.64,95.25,423.91,327.93
GENE_087,177.06,132.64,1116.24,1430.03,105.15,13.13,190.20,36.33,1149.15,1804.70,42.60,1132.60,1416.68,1038.22,57.91,142.27,981.24,453.99,19.81,679.97
GENE_088,1594.26,762.77,842.57,252.79,1747.15,267.49,183.44,5046.11,9376.20,323.04,306.20,154.34,292.77,3599.68,683.87,67.15,14.70,7591.58,135.20,26.44
GENE_089,1343.83,263.06,1053.35,662.36,79.46,83.96,527.28,40.41,488.17,1482.60,1125.06,330.04,19.93,199.42,666.70,1905.09,34.48,671.21,1535.40,2765.08
GENE_090,448.20,276.01,920.32,1557.33,47.98,20.63,1308.28,267.26,806.61,730.41,365.23,4602.28,519.05,266.20,384.89,14.69,620.63,194.00,556.96,469.35
GENE_091,61.21,1926.54,8949.05,15391.12,314.45,132.98,4115.76,209.44,802.77,69.86,3555.23,4613.87,965.24,198.70,823.80,52.75,26.88,1160.43,2235.65,356.87
GENE_092,66.99,406.47,259.12,8106.72,196.03,152.36,1229.31,333.10,97.15,121.40,899.71,1598.05,1356.42,578.53,791.72,32.38,6555.75,29.18,1062.55,6018.16
GENE_093,126.47,100.41,38.13,335.87,497.01,5256.78,3677.87,100.65,837.34,2582.46,12198.19,679.71,984.24,183.33,63.12,1627.76,548.87,1275.61,457.17,60.37
GENE_094,230.05,4313.07,14.11,607.23,130.15,1612.13,166.34,995.12,249.30,464.22,70.36,128.69,278.13,3211.93,193.51,34.18,1341.05,2827.63,239.28,462.35
GENE_095,784.26,36.72,215.05,336.84,3507.41,936.89,4406.05,542.67,3615.36,701.74,128.97,636.80,564.30,816.45,25330.07,4627.67,5433.98,260.71,8.94,3236.60
GENE_096,1170.35,11.50,1859.59,381.11,173.80,1968.61,34.22,1764.16,1797.55,497.65,377.72,314.77,195.26,867.69,1228.84,338.56,4497.02,263.92,441.08,165.82
GENE_097,1833.41,126.70,196.97,469.11,364.21,5484.88,170.31,1096.55,457.10,2008.26,99.67,38.64,6.05,38.92,1936.79,4012.30,1388.01,312.41,200.63,1180.46
GENE_098,162.48,697.63,558.06,53.59,4325.79,307.27,138.22,406.14,275.01,141.72,81.60,686.97,903.64,118.49,1630.58,234.28,257.82,829.45,63.76,688.85
GENE_099,722.36,1775.82,3355.90,6858.15,1765.57,69.24,43.03,936.95,163.13,260.98,2613.21,1105.49,5346.88,555.12,1235.81,24.07,696.13,620.32,261.13,166.25
GENE_100,714.90,24.92,129.01,5584.10,223.24,915.68,424.91,16.67,2219.06,355.98,1184.46,1478.54,221.27,405.49,434.68,3154.75,6230.57,1400.44,88.57,172.79
