record_id,class,case_id,doi,pmid,pmcid,journal,issn,pub_year,retraction_date,retraction_reasons_raw,retraction_is_statistical,license,oa_group,mesh_top5,full_text_local_path,fetched_at,harvester_version
ctrl_0030,control,case_0015,10.1186/ar4103,23190682,PMC3674609,Arthritis research & therapy,1478-6362,2012,,,,CC-BY,1,"Adult|Aged|Anti-Inflammatory Agents, Non-Steroidal|Antihypertensive Agents|Antirheumatic Agents",data/full_text/PMC3674609.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0016,case,,10.1186/1756-9966-30-105,22071019,PMC3227595,Journal of experimental & clinical cancer research : CR,1756-9966,2011,2012-03-13,Concerns/Issues about Data;Error in Data;,True,CC-BY,1,Peptide Library,data/full_text/PMC3227595.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0031,control,case_0016,10.1186/1756-9966-31-49,22621392,PMC3511871,Journal of experimental & clinical cancer research : CR,1756-9966,2012,,,,CC-BY,1,"Gene Expression Regulation, Neoplastic|Peptide Hormones|Stomach Neoplasms",data/full_text/PMC3511871.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
ctrl_0032,control,case_0016,10.1186/1756-9966-31-52,22650359,PMC3408360,Journal of experimental & clinical cancer research : CR,1756-9966,2012,,,,CC-BY,1,"Animals|Bone Morphogenetic Protein Receptors, Type I|Brain Neoplasms|Cell Cycle|Cell Differentiation",data/full_text/PMC3408360.nxml.gz,2026-04-17T13:01:21+00:00,618a75d
case_0017,case,,10.1371/journal.pone.0029192,22174954,PMC3236232,PloS one,1932-6203,2011,2013-09-09,Doing the Right Thing;Error in Cell Lines/Tissues;Error in Materials;Results Not Reproducible;Removed;,True,CC-BY,1,Quorum Sensing,data/full_text/PMC3236232.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
ctrl_0033,control,case_0017,10.1371/journal.pone.0052782,23285182,PMC3532399,PloS one,1932-6203,2012,,,,CC-BY,1,Gene Expression Regulation,data/full_text/PMC3532399.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
ctrl_0034,control,case_0017,10.1371/journal.pone.0052863,23285207,PMC3532439,PloS one,1932-6203,2012,,,,CC-BY,1,"Animals|Berberine|Cells, Cultured|Drug Synergism|Lipopolysaccharides",data/full_text/PMC3532439.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
case_0018,case,,10.1673/031.011.17701,22958094,PMC3462397,Journal of insect science (Online),1536-2442,2011,2015-08-07,Error in Data;Error in Results and/or Conclusions;,True,CC-BY,1,Phylogeny,data/full_text/PMC3462397.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
ctrl_0035,control,case_0018,10.1673/031.012.1701,22934637,PMC3469406,Journal of insect science (Online),1536-2442,2012,,,,CC-BY,1,Animals|China|Female|Male|Muscidae,data/full_text/PMC3469406.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
ctrl_0036,control,case_0018,10.1673/031.012.0101,22935002,PMC3465932,Journal of insect science (Online),1536-2442,2012,,,,CC-BY,1,Analysis of Variance|Animal Feed|Animals|Biological Control Agents|Dissection,data/full_text/PMC3465932.nxml.gz,2026-04-17T13:01:22+00:00,618a75d
case_0020,case,,10.1673/031.012.14101,23461741,PMC3648335,Journal of insect science (Online),1536-2442,2012,2014-08-26,Error in Results and/or Conclusions;,True,CC-BY,1,Food Chain,data/full_text/PMC3648335.nxml.gz,2026-04-17T13:01:37+00:00,618a75d
ctrl_0039,control,case_0020,10.1673/031.013.10001,24738782,PMC4062068,Journal of insect science (Online),1536-2442,2013,,,,CC-BY,1,Biological Evolution|Food Chain,data/full_text/PMC4062068.nxml.gz,2026-04-17T13:01:37+00:00,618a75d
ctrl_0040,control,case_0020,10.1673/031.013.15801,24785375,PMC4015411,Journal of insect science (Online),1536-2442,2013,,,,CC-BY,1,"Crops, Agricultural|Food Chain|Introduced Species",data/full_text/PMC4015411.nxml.gz,2026-04-17T13:01:37+00:00,618a75d
