idx,claim_id,pmcid,raw_text,statistic,df,reported_p,p_comparison,recomputed_p,coder1_category,coder2_category,notes
75,F0075,PMC10995141,"ρ = 0.048, p = 0.362",0.048,,0.362,equals,0.4228,,,
76,F0076,PMC6153141,T(18) = 2.52; p = 0.043,2.52,[18],0.043,equals,0.0214,,,
77,F0077,PMC6639166,"F(2, 72) = 2.746, P = 0.0409",2.746,"[2, 72]",0.0409,equals,0.07091,,,
78,F0078,PMC9881123,"t (73) = -0.94, p = .175",-0.94,[73],0.175,equals,0.3503,,,
79,F0079,PMC6028861,"Z = 2.17, p = 0.028",2.17,,0.028,equals,0.03001,,,
80,F0080,PMC10383994,"r = 0.378, p = 0.014",0.378,,0.014,equals,0.009596,,,
81,F0081,PMC9868299,"F ( 7 , 37 ) = 9.59, p = 0.001",9.59,"[7, 37]",0.001,equals,9.653e-07,,,
82,F0082,PMC8314220,"Z = 0.1481, p < 0.001",0.1481,,0.001,less_than,0.8823,,,
83,F0083,PMC6001905,"F (1,5) = 7.18, P = 0.043",7.18,"[1, 5]",0.043,equals,0.04384,,,
84,F0084,PMC7970742,"t (30) = 3.051, P = 0.004",3.051,[30],0.004,equals,0.004739,,,
85,F0085,PMC12327882,"F (13, 1326) =88.1; p=0.00001",88.1,"[13, 1326]",1e-05,equals,9.434e-169,,,
86,F0086,PMC12327882,"F (7, 101) =7; p=0.004",7.0,"[7, 101]",0.004,equals,8.476e-07,,,
87,F0087,PMC8096927,"t (39) = 5.36, p = 0.026",5.36,[39],0.026,equals,4e-06,,,
88,F0088,PMC6951062,"F(1,24)=8.217, P =0.022",8.217,"[1, 24]",0.022,equals,0.008502,,,
89,F0089,PMC6018610,"t(16) = 2.20, p = 0.43",2.2,[16],0.43,equals,0.04285,,,
90,F0090,PMC6098926,"F (1, 18) = 5.50, p < 0.001",5.5,"[1, 18]",0.001,less_than,0.03068,,,
91,F0091,PMC7289773,"r = .084, p = .021",0.084,,0.021,equals,0.1736,,,
92,F0092,PMC9007165,"t (168) = 1.66, p = 0.07",1.66,[168],0.07,equals,0.09878,,,
93,F0093,PMC9868299,"F (1, 56) = 19.45, p = 0.001",19.45,"[1, 56]",0.001,equals,4.739e-05,,,
94,F0094,PMC12517345,"z =0.478, P =0.3162",0.478,,0.3162,equals,0.6327,,,
95,F0095,PMC7113632,"F (3, 17) = 0.053, p= 0.03",0.053,"[3, 17]",0.03,equals,0.9834,,,
96,F0096,PMC6107706,"F (9,60) = 0.61; p = 0.73",0.61,"[9, 60]",0.73,equals,0.7837,,,
97,F0097,PMC7825015,"t (df92) = 1.13, P = .25",1.13,[92],0.25,equals,0.2614,,,
98,F0098,PMC5910452,"F (1, 61) = 10.90, p = 0.001",10.9,"[1, 61]",0.001,equals,0.00161,,,
99,F0099,PMC6107706,"F (9,72) = 1.56; p = 0.18",1.56,"[9, 72]",0.18,equals,0.144,,,
100,F0100,PMC7216261,"F (1,50) = 1.02, p = 0.306",1.02,"[1, 50]",0.306,equals,0.3174,,,
101,F0101,PMC9881123,"t (73) = -1.99, p = .025",-1.99,[73],0.025,equals,0.05034,,,
102,F0102,PMC8868051,"z = 1.71, p = 0.04",1.71,,0.04,equals,0.08727,,,
103,F0103,PMC9846226,"F (1, 61) = 4.908, p = 0.011",4.908,"[1, 61]",0.011,equals,0.03048,,,
104,F0104,PMC9882553,"z = 0.41, p = 0.05",0.41,,0.05,equals,0.6818,,,
105,F0105,PMC6018610,"F(1,11) = 0.039, P = 0.448",0.039,"[1, 11]",0.448,equals,0.8471,,,
106,F0106,PMC7990292,"t (26) = 2.87, p = 0.013",2.87,[26],0.013,equals,0.00805,,,
107,F0107,PMC8691205,"t (128) = 1.75, p = .041",1.75,[128],0.041,equals,0.08251,,,
108,F0108,PMC8872363,"chi-square(12) = 25.52, p = 0.006",25.52,[12],0.006,equals,0.01254,,,
109,F0109,PMC7825015,"F (2, 67) = 2.1, P = .11",2.1,"[2, 67]",0.11,equals,0.1304,,,
110,F0110,PMC8964379,"F (3,321)= 0.49, p = .68",0.49,"[3, 321]",0.68,equals,0.6895,,,
111,F0111,PMC9868299,"F (1, 56) = 16.54, p = 0.001",16.54,"[1, 56]",0.001,equals,0.0001505,,,
112,F0112,PMC6307702,"F (1,6) = 6.69, MSE = 1.49, p < .001",6.69,"[1, 6]",0.001,less_than,0.04141,,,
113,F0113,PMC9963851,"F (1, 2) = 75.593, p < 0.001",75.593,"[1, 2]",0.001,less_than,0.01297,,,
114,F0114,PMC6171331,"F(1,78) = 85.391, P = 0.01",85.391,"[1, 78]",0.01,equals,3.684e-14,,,
115,F0115,PMC7970742,"F (2,56) = 0.395, P = 0.678",0.395,"[2, 56]",0.678,equals,0.6755,,,
116,F0116,PMC8489157,"z = 3.357, P = 0.016",3.357,,0.016,equals,0.0007879,,,
117,F0117,PMC9963851,"F (1,2) = 44.529, p < 0.001",44.529,"[1, 2]",0.001,less_than,0.02173,,,
118,F0118,PMC7383972,"F (4, 56) = 4.188, p = .024",4.188,"[4, 56]",0.024,equals,0.004893,,,
119,F0119,PMC8449098,"r = .54, p < .001",0.54,,0.001,less_than,0.01398,,,
120,F0120,PMC7216261,"F (2,104) = 0.01, p = 0.914",0.01,"[2, 104]",0.914,equals,0.9901,,,
121,F0121,PMC9123842,"F (2,18) = 6.11; P = 0.010",6.11,"[2, 18]",0.01,equals,0.009436,,,
122,F0122,PMC11706165,"t (128) = 0.45, p = .33",0.45,[128],0.33,equals,0.6535,,,
123,F0123,PMC8492057,"t (31.70) = 2.73, p = 0.030",2.73,[31.7],0.03,equals,0.01025,,,
124,F0124,PMC9846226,"F (2, 59) = 6.243, p = 0.004",6.243,"[2, 59]",0.004,equals,0.003472,,,
125,F0125,PMC6861932,"z = 0.05 mm, v c = 200 m/min, a p = 0.2",0.05,,0.2,equals,0.9601,,,
126,F0126,PMC7216261,"F (2,98) = 1.22, p = 0.275",1.22,"[2, 98]",0.275,equals,0.2997,,,
127,F0127,PMC12488396,"t (30) = 0.749, p = 0.473",0.749,[30],0.473,equals,0.4597,,,
128,F0128,PMC8691205,"t (70) = 1.53, p = .065",1.53,[70],0.065,equals,0.1305,,,
129,F0129,PMC6346416,"t (40) = 1.25, p = 0.27",1.25,[40],0.27,equals,0.2186,,,
130,F0130,PMC7679251,"F (1,17) = 2.65, p = 0.028",2.65,"[1, 17]",0.028,equals,0.1219,,,
131,F0131,PMC6346416,"Z = 1.91, p = 0.05",1.91,,0.05,equals,0.05613,,,
132,F0132,PMC11458066,"F (3,48) = 2.68, p = 0.0057",2.68,"[3, 48]",0.0057,equals,0.05732,,,
133,F0133,PMC10557698,z = 2.905; p = 0.0062,2.905,,0.0062,equals,0.003673,,,
134,F0134,PMC8470488,"t (26) = 2.24, p = 0.02",2.24,[26],0.02,equals,0.03386,,,
135,F0135,PMC6356900,"F (36,124) = 1.71, p = 0.022",1.71,"[36, 124]",0.022,equals,0.01623,,,
136,F0136,PMC9868299,"F ( 3 , 37 ) = 2.67, p = 0.057",2.67,"[3, 37]",0.057,equals,0.06165,,,
137,F0137,PMC7113632,"F (3, 17) = 0.042, p = 0.05",0.042,"[3, 17]",0.05,equals,0.9881,,,
138,F0138,PMC6139018,"F (2, 175) = 1.91, p = .169",1.91,"[2, 175]",0.169,equals,0.1512,,,
139,F0139,PMC7554976,"F (10, 285) = 1.0, p = 0.3",1.0,"[10, 285]",0.3,equals,0.4435,,,
140,F0140,PMC7216261,"F (2,100) = 0.31, p = 0.580",0.31,"[2, 100]",0.58,equals,0.7341,,,
141,F0141,PMC7216261,"F (1,48) = 7.44, p = 0.010",7.44,"[1, 48]",0.01,equals,0.008884,,,
142,F0142,PMC8465154,"F (3.55,229.31) = 0.803, p = 0.520",0.803,"[3.55, 229.31]",0.52,equals,0.5115,,,
143,F0143,PMC7692862,"F (2, 30) = 1.59, p = 0.235",1.59,"[2, 30]",0.235,equals,0.2206,,,
144,F0144,PMC8489157,"z = 3.121, P = 0.062",3.121,,0.062,equals,0.001802,,,
145,F0145,PMC11923047,"r (209) = 0.09, p = 0.070",0.09,[209],0.07,equals,0.1928,,,
146,F0146,PMC8465154,"F (4.52,291.76) = 1.510, p = 0.175",1.51,"[4.52, 291.76]",0.175,equals,0.1926,,,
147,F0147,PMC7383972,"F (2, 28) = 1.818, p = .193",1.818,"[2, 28]",0.193,equals,0.181,,,
148,F0148,PMC9905004,"t (284) = 0.7, p = .100",0.7,[284],0.1,equals,0.4845,,,
149,F0149,PMC6951062,"F(1,24)=18.55, P =0.026",18.55,"[1, 24]",0.026,equals,0.000242,,,
