"pmcid","xml_std","xml_chk","txt_std","txt_chk"
"PMC12131339",4,0,4,0
"PMC12165272",2,0,2,0
"PMC12193233",10,0,6,0
"PMC12231001",5,0,5,0
"PMC12261733",17,0,96,0
"PMC12269603",11,0,10,0
"PMC12273528",3,0,3,0
"PMC12278654",4,0,2,0
"PMC12292535",26,12,24,12
"PMC12294307",9,0,4,0
"PMC12299878",8,0,4,0
"PMC12308129",18,0,15,0
"PMC12326796",14,0,13,0
"PMC12327882",20,5,17,5
"PMC12330239",1,0,1,0
"PMC12340866",12,0,12,0
"PMC12356340",1,0,1,0
"PMC12356910",7,0,8,0
"PMC12364657",0,0,0,0
"PMC12366935",8,4,8,4
"PMC12368893",0,0,0,0
"PMC12371145",27,0,27,0
"PMC12373687",33,0,29,0
"PMC12384914",7,0,7,0
"PMC12407988",0,0,0,0
"PMC12412056",55,50,55,50
"PMC12414807",52,0,27,0
"PMC12417286",2,0,2,0
"PMC12420638",13,0,12,0
"PMC12427029",3,0,1,0
"PMC12430107",2,0,1,0
"PMC12452892",0,0,0,0
"PMC12466435",17,15,11,9
"PMC12466802",8,0,0,0
"PMC12467443",4,0,2,0
"PMC12470355",13,0,2,0
"PMC12482055",6,0,11,0
"PMC12488396",23,10,21,10
"PMC12497806",105,0,102,0
"PMC12498142",0,0,0,0
"PMC12503916",15,0,15,0
"PMC12507348",89,0,89,0
"PMC12508837",6,0,10,0
"PMC12517345",41,7,41,7
"PMC12524857",20,0,10,0
"PMC12548980",8,0,8,0
"PMC12561530",22,0,23,0
"PMC12562881",0,0,0,0
"PMC12563667",4,0,3,0
"PMC12590858",11,6,8,4
"PMC12598106",23,11,20,11
"PMC12620754",17,13,15,13
"PMC12660375",3,2,2,1
"PMC12667764",5,0,5,0
"PMC12674581",8,0,8,0
"PMC12699250",8,0,5,0
"PMC12704620",0,0,0,0
"PMC12706819",11,3,14,3
"PMC12786553",6,1,4,1
"PMC12796776",2,0,1,0
"PMC12796859",0,0,0,0
"PMC12803905",41,14,41,14
"PMC12831942",0,0,0,0
"PMC12835135",0,0,0,0
"PMC12836929",42,0,42,0
"PMC12844656",3,0,1,0
"PMC12872138",0,0,1,0
"PMC12993635",15,2,15,2
"PMC13046198",13,0,9,0
"PMC13063157",0,0,2,0
"PMC13140295",1,0,0,0
"PMC13217359",0,0,0,0
"PMC5762637",19,3,21,3
"PMC5762649",15,15,15,15
"PMC5762674",5,0,5,0
"PMC5765037",24,0,23,0
"PMC5766523",2,0,2,0
"PMC5775425",24,24,24,24
"PMC5776840",0,0,0,0
"PMC5784751",34,3,30,3
"PMC5797313",0,0,0,0
"PMC5797396",1,0,1,0
"PMC5798279",30,0,14,0
"PMC5799895",0,0,0,0
"PMC5808306",5,3,5,3
"PMC5812108",23,0,33,0
"PMC5821967",0,0,0,0
"PMC5829507",5,0,5,0
"PMC5849746",0,0,1,0
"PMC5872172",0,0,0,0
"PMC5884242",2,0,2,0
"PMC5887007",27,19,27,19
"PMC5894785",7,0,1,0
"PMC5898902",1,0,1,0
"PMC5908281",7,0,1,0
"PMC5911715",3,0,3,0
"PMC5912906",111,0,58,0
"PMC5928138",14,1,13,1
"PMC5930503",42,0,28,0
"PMC5937900",0,0,0,0
"PMC5952516",6,0,6,0
"PMC5955168",4,0,2,0
"PMC5958057",48,41,53,41
"PMC5974206",0,0,0,0
"PMC5981990",1,0,0,0
"PMC5982124",1,0,1,0
"PMC5982564",4,0,5,0
"PMC5991354",78,1,78,1
"PMC5991461",4,0,4,0
"PMC5992836",0,0,0,0
"PMC5994305",146,37,119,37
"PMC5994308",6,0,5,0
"PMC5997835",17,0,14,0
"PMC6001427",0,0,0,0
"PMC6001905",23,2,26,2
"PMC6002419",2,0,2,0
"PMC6018610",20,0,32,0
"PMC6028664",1,0,1,0
"PMC6029238",5,0,5,0
"PMC6034461",18,10,16,10
"PMC6044220",0,0,0,0
"PMC6048146",11,0,28,0
"PMC6054439",1,0,1,0
"PMC6067695",25,20,29,10
"PMC6071199",29,23,29,23
"PMC6072906",7,0,7,0
"PMC6083218",64,61,64,61
"PMC6088173",0,0,0,0
"PMC6099318",1,0,1,0
"PMC6107714",51,17,56,17
"PMC6111889",3,3,3,3
"PMC6114852",0,0,0,0
"PMC6115773",32,0,25,0
"PMC6116075",0,0,0,0
"PMC6120007",9,0,3,0
"PMC6120925",0,0,0,0
"PMC6125405",22,0,20,0
"PMC6135509",11,4,6,1
"PMC6137409",0,0,0,0
"PMC6142868",21,0,13,0
"PMC6146299",4,0,4,0
"PMC6151073",2,0,0,0
"PMC6153141",13,0,14,0
"PMC6156479",16,0,14,0
"PMC6156520",8,0,8,0
"PMC6167072",5,0,1,0
"PMC6170210",19,0,17,0
"PMC6171029",14,0,14,0
"PMC6171331",57,30,56,30
"PMC6182564",3,0,3,0
"PMC6209900",1,0,1,0
"PMC6212649",2,0,1,0
"PMC6215676",3,3,3,3
"PMC6220762",3,0,3,0
"PMC6222656",101,42,70,42
"PMC6225963",13,0,9,0
"PMC6234253",3,0,3,0
"PMC6257625",0,0,0,0
"PMC6263454",41,0,26,0
"PMC6263886",0,0,0,0
"PMC6272100",8,0,8,0
"PMC6276203",3,0,3,0
"PMC6277375",6,1,5,1
"PMC6288269",13,0,10,0
"PMC6311249",7,0,6,0
"PMC6318469",30,27,28,27
"PMC6323087",2,0,2,0
"PMC6331035",8,0,8,0
"PMC6334426",11,0,11,0
"PMC6335418",8,0,10,0
"PMC6340117",17,4,14,4
"PMC6343339",15,3,20,3
"PMC6346416",56,44,56,46
"PMC6348425",0,0,0,0
"PMC6354666",14,0,14,0
"PMC6356900",42,2,35,2
"PMC6362970",10,0,20,0
"PMC6372986",2,0,31,0
"PMC6374456",4,0,4,0
"PMC6393745",37,30,36,30
"PMC6434203",34,0,26,0
"PMC6447569",61,0,69,0
"PMC6448269",1,0,1,0
"PMC6456669",0,0,0,0
"PMC6456940",8,0,9,0
"PMC6460346",23,3,21,3
"PMC6461027",5,0,4,0
"PMC6470432",2,0,2,0
"PMC6478685",1,0,1,0
"PMC6485038",2,0,2,0
"PMC6492098",4,0,3,0
"PMC6503337",5,0,27,0
"PMC6528349",22,0,19,0
"PMC6536612",25,8,28,8
"PMC6541651",18,0,18,0
"PMC6543052",8,0,6,0
"PMC6545008",0,0,0,0
"PMC6554678",22,4,22,4
"PMC6556618",0,0,0,0
"PMC6572415",4,0,4,0
"PMC6584455",1,0,1,0
"PMC6584683",1,0,2,0
"PMC6603712",1,0,0,0
"PMC6604490",17,0,17,0
"PMC6614339",15,4,23,4
"PMC6624478",14,0,9,0
"PMC6635145",0,0,0,0
"PMC6638935",0,0,0,0
"PMC6639166",0,0,0,0
"PMC6639258",1,0,3,0
"PMC6639321",3,0,7,0
"PMC6660653",1,0,1,0
"PMC6675713",12,0,10,0
"PMC6678398",1,0,1,0
"PMC6691709",1,0,2,0
"PMC6698317",5,4,3,2
"PMC6709230",17,11,15,9
"PMC6714766",14,0,10,0
"PMC6718049",0,0,1,0
"PMC6722319",38,0,34,0
"PMC6723826",7,0,5,0
"PMC6733456",11,0,11,0
"PMC6733472",44,8,138,89
"PMC6733484",1,0,1,0
"PMC6735530",8,0,8,0
"PMC6745989",0,0,0,0
"PMC6750507",0,0,0,0
"PMC6757512",1,0,1,0
"PMC6766250",0,0,0,0
"PMC6767588",1,0,1,0
"PMC6794488",12,0,4,0
"PMC6800986",0,0,26,0
"PMC6805010",0,0,0,0
"PMC6813066",0,0,0,0
"PMC6814606",20,0,20,0
"PMC6825345",0,0,0,0
"PMC6838791",5,0,5,0
"PMC6842507",27,0,42,0
"PMC6843601",12,8,12,8
"PMC6851034",3,0,10,0
"PMC6852082",25,0,20,0
"PMC6852310",12,0,10,0
"PMC6861932",18,0,7,0
"PMC6862160",0,0,0,0
"PMC6882933",0,0,0,0
"PMC6890654",2,0,2,0
"PMC6891977",6,1,4,1
"PMC6892866",4,0,19,0
"PMC6894244",6,0,7,0
"PMC6901828",17,17,19,17
"PMC6904313",0,0,0,0
"PMC6908840",9,0,2,0
"PMC6910105",32,0,32,0
"PMC6911996",11,0,6,0
"PMC6915159",1,0,0,0
"PMC6923427",23,0,26,0
"PMC6924708",2,0,2,0
"PMC6939799",0,0,0,0
"PMC6941214",0,0,0,0
"PMC6943413",0,0,0,0
"PMC6943707",17,0,2,0
"PMC6948295",0,0,0,0
"PMC6951062",88,25,80,25
"PMC6960661",3,2,3,2
"PMC6962637",23,11,23,11
"PMC6967280",0,0,0,0
"PMC6969304",18,2,20,2
"PMC6988146",0,0,0,0
"PMC6995559",0,0,0,0
"PMC7010232",65,1,64,1
"PMC7013729",1,0,1,0
"PMC7057232",0,0,0,0
"PMC7057658",21,0,18,0
"PMC7065726",4,0,3,0
"PMC7069673",3,0,1,0
"PMC7109338",0,0,0,0
"PMC7125566",0,0,0,0
"PMC7131917",6,0,6,0
"PMC7147560",3,0,3,0
"PMC7157564",16,0,12,0
"PMC7162490",26,8,22,14
"PMC7179334",0,0,0,0
"PMC7181892",6,6,6,6
"PMC7187301",20,11,18,11
"PMC7189079",0,0,0,0
"PMC7201546",0,0,0,0
"PMC7204171",0,0,0,0
"PMC7215313",17,0,15,0
"PMC7220471",9,3,6,2
"PMC7230547",11,0,6,0
"PMC7266221",7,3,5,2
"PMC7286778",4,0,4,0
"PMC7289773",9,6,9,6
"PMC7323699",6,0,6,0
"PMC7329517",12,0,13,0
"PMC7330132",16,0,12,0
"PMC7330866",0,0,0,0
"PMC7332417",3,0,3,0
"PMC7353843",32,17,50,26
"PMC7358850",0,0,0,0
"PMC7369131",6,4,8,4
"PMC7373536",12,0,12,0
"PMC7378518",2,0,3,0
"PMC7383972",90,21,87,21
"PMC7390344",4,0,0,0
"PMC7399781",10,0,2,0
"PMC7426789",1,0,1,0
"PMC7429700",6,0,5,0
"PMC7434409",7,0,6,0
"PMC7444958",0,0,0,0
"PMC7450317",0,0,0,0
"PMC7463810",20,0,13,0
"PMC7464858",4,0,4,0
"PMC7466648",25,9,39,26
"PMC7468868",1,0,0,0
"PMC7481790",47,26,52,26
"PMC7484783",7,0,37,0
"PMC7490598",4,0,2,0
"PMC7493158",15,9,15,9
"PMC7497100",12,0,7,0
"PMC7516289",5,0,4,0
"PMC7530445",1,0,0,0
"PMC7531101",9,0,6,0
"PMC7550750",1,1,1,1
"PMC7563887",0,0,0,0
"PMC7564698",9,1,7,1
"PMC7575713",1,0,2,0
"PMC7576835",17,0,24,0
"PMC7589464",2,0,2,0
"PMC7602320",1,0,14,0
"PMC7643064",1,0,1,0
"PMC7663648",1,0,1,0
"PMC7676599",17,0,15,0
"PMC7686164",16,5,18,5
"PMC7692364",13,0,9,0
"PMC7692862",19,4,13,4
"PMC7694207",8,0,2,0
"PMC7698713",10,0,7,0
"PMC7725305",22,0,19,0
"PMC7725819",64,59,70,59
"PMC7739431",3,0,1,0
"PMC7747615",22,3,22,3
"PMC7752049",8,0,8,0
"PMC7762126",30,0,21,0
"PMC7762158",14,0,12,0
"PMC7773722",13,1,14,1
"PMC7793636",1,1,1,1
"PMC7796367",0,0,0,0
"PMC7811850",70,0,57,0
"PMC7825015",29,7,29,7
"PMC7833319",14,0,13,0
"PMC7838114",0,0,0,0
"PMC7870225",3,0,3,0
"PMC7911607",0,0,0,0
"PMC7913545",2,0,2,0
"PMC7918617",1,0,1,0
"PMC7922196",17,0,1,0
"PMC7922475",9,0,9,0
"PMC7922990",1,0,0,0
"PMC7923810",1,0,1,0
"PMC7929567",0,0,0,0
"PMC7946918",41,0,38,0
"PMC7970742",90,44,84,43
"PMC7990292",38,14,30,14
"PMC7994707",16,0,16,0
"PMC7997126",5,0,4,0
"PMC7998499",25,0,19,0
"PMC8009440",1,0,1,0
"PMC8009672",67,0,53,0
"PMC8024004",30,19,28,19
"PMC8058340",42,19,45,19
"PMC8060337",11,7,13,7
"PMC8075735",36,0,29,0
"PMC8088427",9,0,7,0
"PMC8088919",0,0,0,0
"PMC8115279",3,0,21,0
"PMC8120267",3,0,3,0
"PMC8123177",24,0,33,0
"PMC8123344",1,0,1,0
"PMC8145962",3,0,2,0
"PMC8161811",0,0,0,0
"PMC8162832",1,0,1,0
"PMC8166434",41,0,37,0
"PMC8177799",1,0,1,0
"PMC8180599",21,1,20,1
"PMC8182059",27,4,27,4
"PMC8193771",3,0,3,0
"PMC8197349",1,0,0,0
"PMC8216961",14,4,8,4
"PMC8218019",3,0,3,0
"PMC8255007",2,0,6,0
"PMC8269663",38,29,33,29
"PMC8286455",3,0,3,0
"PMC8287058",14,10,7,5
"PMC8296242",3,0,1,0
"PMC8297235",1,0,1,0
"PMC8314220",17,2,16,2
"PMC8318230",0,0,0,0
"PMC8323433",6,6,13,6
"PMC8356289",2,0,2,0
"PMC8372767",53,0,53,0
"PMC8383741",24,0,12,0
"PMC8403229",0,0,0,0
"PMC8414666",0,0,0,0
"PMC8414832",42,36,65,28
"PMC8421668",5,0,3,0
"PMC8423636",16,11,55,12
"PMC8433348",6,0,8,0
"PMC8435119",14,0,12,0
"PMC8437293",15,0,0,0
"PMC8444525",19,5,18,5
"PMC8446200",49,7,38,5
"PMC8449098",3,0,4,0
"PMC8461329",0,0,0,0
"PMC8465071",16,0,7,0
"PMC8469183",43,9,37,8
"PMC8470960",0,0,0,0
"PMC8472355",50,19,30,19
"PMC8474673",38,0,34,0
"PMC8489157",19,16,18,16
"PMC8492057",65,51,25,19
"PMC8494816",6,0,13,0
"PMC8500218",21,12,21,12
"PMC8533936",90,0,76,0
"PMC8541456",0,0,0,0
"PMC8548725",10,0,10,5
"PMC8555819",4,0,4,0
"PMC8562209",0,0,0,0
"PMC8609199",0,0,0,0
"PMC8658324",63,1,35,1
"PMC8683629",25,0,25,0
"PMC8691205",34,16,37,6
"PMC8693188",16,4,11,2
"PMC8695380",18,0,20,0
"PMC8698788",1,0,1,0
"PMC8709129",0,0,0,0
"PMC8712214",4,0,2,0
"PMC8751398",5,0,3,0
"PMC8776651",19,7,20,7
"PMC8783154",17,0,13,0
"PMC8797379",26,7,39,11
"PMC8814393",10,0,9,0
"PMC8829801",20,4,41,4
"PMC8841121",0,0,0,0
"PMC8850591",2,0,5,0
"PMC8853134",26,0,38,0
"PMC8857895",9,6,8,6
"PMC8866836",14,0,9,0
"PMC8868051",6,4,6,4
"PMC8872313",21,3,20,3
"PMC8872318",0,0,0,0
"PMC8872363",15,3,10,3
"PMC8873205",52,21,53,21
"PMC8876475",1,0,0,0
"PMC8884852",6,0,5,0
"PMC8908932",10,0,6,0
"PMC8909487",2,0,3,0
"PMC8910427",52,4,51,4
"PMC8919406",2,0,2,0
"PMC8923254",0,0,0,0
"PMC8931560",2,0,0,0
"PMC8947231",0,0,0,0
"PMC8948206",46,29,58,30
"PMC8964379",21,8,21,8
"PMC8966217",0,0,1,0
"PMC8980386",8,0,6,0
"PMC8985199",44,9,44,9
"PMC8997493",7,0,7,0
"PMC9029050",24,0,13,0
"PMC9054887",0,0,0,0
"PMC9061856",43,12,42,12
"PMC9081683",0,0,0,0
"PMC9084919",54,3,54,3
"PMC9104999",0,0,1,0
"PMC9107383",1,0,1,0
"PMC9108194",6,6,7,6
"PMC9114017",20,2,21,2
"PMC9114379",0,0,0,0
"PMC9124063",0,0,0,0
"PMC9132306",6,0,6,0
"PMC9135667",5,0,5,0
"PMC9140542",25,2,25,2
"PMC9141606",0,0,0,0
"PMC9166588",16,0,12,0
"PMC9174859",2,0,2,0
"PMC9189213",7,0,9,0
"PMC9201564",2,0,0,0
"PMC9221635",0,0,0,0
"PMC9231193",8,0,8,0
"PMC9245224",8,0,22,0
"PMC9245312",50,16,66,16
"PMC9247260",0,0,0,0
"PMC9292850",0,0,0,0
"PMC9309027",8,0,7,0
"PMC9316641",0,0,0,0
"PMC9319878",1,0,1,0
"PMC9323644",3,0,1,0
"PMC9326803",20,9,41,5
"PMC9337854",28,0,5,0
"PMC9339704",23,7,24,8
"PMC9364104",2,0,9,0
"PMC9375110",5,0,3,0
"PMC9386964",10,0,22,0
"PMC9396849",79,9,67,9
"PMC9478698",14,0,10,0
"PMC9480856",5,0,1,0
"PMC9541262",30,0,22,0
"PMC9541914",0,0,0,0
"PMC9551459",11,0,8,0
"PMC9552740",0,0,0,0
"PMC9554132",66,0,203,0
"PMC9592895",3,0,3,0
"PMC9605637",9,0,6,0
"PMC9630154",6,0,6,0
"PMC9636821",0,0,0,0
"PMC9656004",0,0,0,0
"PMC9656349",0,0,0,0
"PMC9684517",60,0,56,0
"PMC9689255",0,0,1,0
"PMC9697725",3,0,4,0
"PMC9720605",27,1,21,1
"PMC9735849",22,0,15,0
"PMC9757054",13,0,8,0
"PMC9757648",0,0,0,0
"PMC9760566",18,11,18,11
"PMC9773470",37,0,38,0
"PMC9773662",111,45,107,45
"PMC9806133",0,0,0,0
"PMC9814008",2,0,0,0
"PMC9826110",6,0,11,0
"PMC9828377",1,0,1,0
"PMC9829949",41,25,41,25
"PMC9829958",0,0,0,0
"PMC9847069",0,0,0,0
"PMC9868299",26,18,30,18
"PMC9868426",0,0,0,0
"PMC9882553",54,20,31,12
"PMC9898624",1,0,1,0
"PMC9901089",10,0,9,0
"PMC9905004",52,11,58,11
"PMC9906947",0,0,0,0
"PMC9913426",0,0,0,0
"PMC9915089",0,0,1,0
"PMC9929804",15,0,15,0
"PMC9950944",2,0,2,0
"PMC9951115",1,0,1,0
"PMC9953810",0,0,0,0
"PMC9954860",5,0,12,0
"PMC9955796",4,0,2,0
"PMC9958447",15,0,19,0
"PMC9958683",10,0,8,0
"PMC9960865",3,0,1,0
"PMC9963299",0,0,0,0
"PMC9964015",0,0,0,0
"PMC9965798",0,0,0,0
"PMC9985686",3,0,2,0
"PMC9987168",33,0,29,0
"PMC9995537",3,0,3,0
"PMC9995817",0,0,0,0
