record_id,reason_raw,journal,retraction_doi,original_doi,your_label,notes
60429,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9829160,10.1155/2022/5889284,,
49719,Bias Issues or Lack of Balance;Duplication of Data;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,Taiwanese Journal of Obstetrics and Gynecology,10.1016/j.tjog.2023.10.001,10.1016/j.tjog.2022.02.009,,
34540,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Unreliable Results and/or Conclusions;,Journal of Cellular Physiology,10.1002/jcp.30635,10.1002/jcp.26950,,
49125,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Informed/Patient Consent - None/Withdrawn;Investigation by Journal/Publisher;Investigation by Third Party;Lack of IRB/IACUC Approval and/or Compliance;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,BioMed Research International,10.1155/2023/9867810,10.1155/2022/3046554,,
43400,Concerns/Issues about Authorship/Affiliation;Ethical Violations by Author;False/Forged Affiliation;Lack of IRB/IACUC Approval and/or Compliance;Paper Mill;,Frontiers in Bioscience-Elite,10.31083/j.fbe1401002R,10.31083/j.fbe1401002,,
8105,Concerns/Issues about Data;Duplication of Data;Duplication of/in Image;Error in Image;,"Spectrochimica Acta Part A, Molecular and Biomolecular Spectroscopy",10.1016/j.saa.2016.08.060,10.1016/j.saa.2014.05.076,,
67439,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Original Data and/or Images not Provided and/or not Available;Updated to Retraction;,Gynecological Endocrinology,10.1080/09513590.2020.1841983,10.1080/09513590.2017.1290071,,
2932,Author Unresponsive;Falsification/Fabrication of Data;Investigation by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;,Translational Psychiatry,10.1038/tp.2017.97,10.1038/tp.2011.27,,
60416,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Contrast Media & Molecular Imaging,10.1155/2023/9871217,10.1155/2022/9253868,,
45447,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,Journal of Healthcare Engineering,10.1155/2023/9845732,10.1155/2022/2693621,,
4124,Falsification/Fabrication of Data;Investigation by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;Results Not Reproducible;,Journal of Personality and Social Psychology,10.1037/a0030145,10.1037/a0026106,,
60742,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9894712,10.1155/2022/5092962,,
42433,Compromised Peer Review;Investigation by Journal/Publisher;,Journal of Environmental and Public Health,10.1155/2023/9840913,10.1155/2022/4003853,,
5491,Error in Data;,The Journal of Clinical Investigation (JCI),10.1172/JCI91191,10.1172/jci81040,,
48483,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Disease Markers,10.1155/2023/9870104,10.1155/2022/8168517,,
41449,Concerns/Issues about Peer Review;Investigation by Journal/Publisher;,Computational and Mathematical Methods in Medicine,10.1155/2022/9860352,10.1155/2022/6282167,,
19732,Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Data;Investigation by Journal/Publisher;,Annals of Neurosciences,10.5214/ans.0972.7531.220415,10.5214/ans.0972-7531.1017306,,
60465,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Contrast Media & Molecular Imaging,10.1155/2023/9815126,10.1155/2022/1995803,,
51308,Concerns/Issues about Authorship/Affiliation;Updated to Retraction;,Cureus,10.7759/cureus.x5,10.7759/cureus.18424,,
45804,Duplication of/in Image;Lack of IRB/IACUC Approval and/or Compliance;Unreliable Data;,Mammalian Genome: Official Journal of the International Mammalian Genome Society,10.1007/s00335-023-10004-5,10.1007/s00335-021-09920-1,,
36029,Civil Proceedings;Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Legal Reasons and/or Threats;,Journal of Crohn's and Colitis,10.1093/ecco-jcc/jjab227,10.1016/s1873-9946(10)00006-1,,
17563,Falsification/Fabrication of Data;Falsification/Fabrication of Results;Miscommunication with/by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;,International Journal of Pharmaceutics,10.1016/j.ijpharm.2012.05.025,10.1016/j.ijpharm.2012.05.025,,
50956,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9762706,10.1155/2022/9885274,,
59654,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9878906,10.1155/2022/7503380,,
24963,Contamination of Cell Lines/Tissues;Error in Data;Error in Results and/or Conclusions;Retract and Replace;,Cell Stem Cell,10.1016/j.stem.2020.11.020,10.1016/j.stem.2019.09.001,,
56130,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9841037,10.1155/2022/3639157,,
17490,Contamination of Cell Lines/Tissues;Error in Data;Error in Results and/or Conclusions;,Cell,10.1016/j.cell.2018.02.023,10.1016/j.cell.2013.07.048,,
21903,Error in Materials;Error in Methods;Results Not Reproducible;,Tumor Biology (Tumour Biology) - Official Journal of the International Society of Oncology and BioMarkers (ISOBM),10.1007/s13277-015-3087-x,10.1007/s13277-015-3087-x,,
24140,Error by Journal/Publisher;Retract and Replace;,Developmental Cognitive Neuroscience,10.1016/j.dcn.2020.100848,10.1016/j.dcn.2020.100822,,
16233,Error in Analyses;,Physical Chemistry Chemical Physics (PCCP),10.1039/c7cp90263h,10.1039/c7cp06480b,,
43217,Date of Article and/or Notice Unknown;Investigation by Third Party;,Life Sciences,10.1016/j.lfs.2023.121732,10.1016/j.lfs.2018.08.037,,
24741,Concerns/Issues about Data;Updated to Retraction;,Naunyn-Schmiedeberg's Archives of Pharmacology,10.1007/s00210-019-01770-8,10.1007/s00210-019-01770-8,,
1827,Civil Proceedings;Concerns/Issues about Data;Error in Data;Investigation by Company/Institution;,Clinical Orthopaedics and Related Research,10.1007/s11999-012-2677-9,10.1007/s11999-012-2677-9,,
20612,Error in Analyses;Error in Methods;Unreliable Results and/or Conclusions;,The Linacre Quarterly,10.1177/0024363919854842,10.1177/0024363918788559,,
1305,Plagiarism of/in Article;,BMC Surgery,10.1186/s12893-016-0140-7,10.1186/1471-2482-13-s2-s26,,
17989,Error in Analyses;Error in Data;Error in Results and/or Conclusions;Unreliable Results and/or Conclusions;,eLife,10.7554/eLife.37048,10.7554/elife.12248,,
55643,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9804628,10.1155/2022/1979254,,
39529,Concerns/Issues about Authorship/Affiliation;Conflict of Interest;Compromised Peer Review;,PLoS One,10.1371/journal.pone.0274854,10.1371/journal.pone.0268659,,
58024,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Oxidative Medicine and Cellular Longevity,10.1155/2023/9791678,10.1155/2022/4838760,,
60229,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9850491,10.1155/2022/3118046,,
60947,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Journal of Healthcare Engineering,10.1155/2023/9845253,10.1155/2021/8425206,,
8321,Duplication of Content through Error by Journal/Publisher;,Cell Cycle,10.1080/15384101.2015.1074470,10.1080/15384101.2015.1026516,,
25498,Results Not Reproducible;,Journal of Biochemical and Molecular Toxicology,10.1002/jbt.22707,10.1002/jbt.22471,,
17992,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Updated to Retraction;,JAMA Internal Medicine,10.1001/jamainternmed.2018.1986,10.1001/jamainternmed.2014.4098,,
45131,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;,PLoS One,10.1371/journal.pone.0279946,10.1371/journal.pone.0204879,,
8588,Concerns/Issues about Image;Error in Image;,The Journal of Biological Chemistry,10.1074/jbc.A111.318261,10.1074/jbc.m111.318261,,
48628,Concerns/Issues about Data;Investigation by Journal/Publisher;Objections by Author(s);Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,Materials,10.3390/ma16206818,10.3390/ma12030511,,
23949,Author Unresponsive;Concerns/Issues about Results and/or Conclusions;Investigation by Journal/Publisher;Updated to Retraction;,OncoTargets and Therapy,10.2147/OTT.S270253,10.2147/ott.s77709,,
55637,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9794874,10.1155/2022/3722703,,
34611,Author Unresponsive;Concerns/Issues about Data;Concerns/Issues about Image;Investigation by Journal/Publisher;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;,European Review for Medical and Pharmacological Sciences,10.26355/eurrev_202011_23751,10.26355/eurrev_201811_16390,,
24976,Duplication of/in Image;Manipulation of Images;Unreliable Results and/or Conclusions;,"Artificial Cells, Nanomedicine, and Biotechnology",10.1080/21691401.2020.1842981,10.1080/21691401.2018.1561458,,
413,Compromised Peer Review;Investigation by Company/Institution;,Cancer Gene Therapy,10.1038/cgt.2015.70,10.1038/cgt.2014.49,,
21016,Duplication of/in Image;Manipulation of Images;Original Data and/or Images not Provided and/or not Available;Updated to Retraction;,Cancer Discovery,10.1158/2159-8290.CD-19-0724,10.1158/2159-8290.cd-11-0241,,
46803,Duplication of/in Image;Manipulation of Images;Original Data and/or Images not Provided and/or not Available;Unreliable Data;,Experimental Brain Research,10.1007/s00221-023-06681-y,10.1007/s00221-014-3946-5,,
35336,Date of Article and/or Notice Unknown;False/Forged Authorship;Falsification/Fabrication of Data;Investigation by Company/Institution;Investigation by Third Party;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;,Journal of Clinical Anesthesia,10.1016/j.jclinane.2022.110747,10.1016/j.jclinane.2017.01.038,,
14325,Error by Third Party;Investigation by Company/Institution;Investigation by Third Party;Lack of IRB/IACUC Approval and/or Compliance;Miscommunication with/by Author;Miscommunication with/by Third Party;,The Journal of Bone and Joint Surgery,10.2106/JBJS.O.00119,10.2106/jbjs.j.00781,,
23026,Euphemisms for Plagiarism;Plagiarism of/in Article;Taken from Dissertation/Thesis;,International Journal of Injury Control and Safety Promotion,10.1080/17457300.2020.1746049,10.1080/17457300.2019.1576208,,
56629,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Journal of Environmental and Public Health,10.1155/2023/9760232,10.1155/2022/8391616,,
44400,Concerns/Issues about Image;Duplication of/in Image;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;Upgrade/Update of Prior Notice(s);,Biomedicine & Pharmacotherapy,10.1016/j.biopha.2023.114736,10.1016/j.biopha.2017.01.106,,
35655,Civil Proceedings;Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Legal Reasons and/or Threats;,Journal of Crohn's and Colitis,10.1093/ecco-jcc/jjab227,10.1016/s1873-9946(10)00006-1,,
55714,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9851986,10.1155/2022/4597087,,
50464,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Investigation by Company/Institution;Investigation by Journal/Publisher;Unreliable Data;Unreliable Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,The Journal of Clinical Investigation (JCI),10.1172/JCI177489,10.1172/jci66236,,
19806,Unreliable Data;Unreliable Results and/or Conclusions;,Physical Chemistry Chemical Physics (PCCP),10.1039/c9cp90012h,10.1039/c6cp02656g,,
43718,Compromised Peer Review;,The Open Biomedical Engineering Journal,10.2174/1874120701812010091,10.2174/1874120701509010330,,
717,Duplication of/in Image;Error in Image;,International Journal of Cancer,10.1002/ijc.29580,10.1002/ijc.27927,,
48174,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,Computational Intelligence and Neuroscience,10.1155/2023/9815895,10.1155/2022/3490055,,
32302,Author Unresponsive;Duplication of/in Image;Investigation by Journal/Publisher;Original Data and/or Images not Provided and/or not Available;Paper Mill;,Biomedicine & Pharmacotherapy,10.1016/j.biopha.2021.112116,10.1016/j.biopha.2018.06.146,,
27259,Concerns/Issues about Image;Investigation by Third Party;Paper Mill;Updated to Retraction;,Bioscience Reports,10.1042/BSR-20170109_EOC,10.1042/bsr20170109,,
37713,Duplication of/in Article;,Frontiers in Medicine,10.3389/fmed.2022.947016,10.3389/fmed.2021.564943,,
43197,Error by Journal/Publisher;,Microbial Pathogenesis,10.1016/j.micpath.2023.106052,10.1016/j.micpath.2018.09.039,,
40415,Duplication of Data;,International Journal of Occupational Safety and Ergonomics,10.1080/10803548.2022.2140890,10.1080/10803548.2022.2059171,,
8628,Duplication of/in Article;Euphemisms for Duplication;,Chinese Medical Journal,10.4103/0366-6999.193449,10.4103/0366-6999.178013,,
24525,Error by Journal/Publisher;Retract and Replace;,BMJ Paediatrics Open,10.1136/bmjpo-2019-000620ret,10.1136/bmjpo-2019-000620,,
27253,Concerns/Issues about Image;Investigation by Third Party;Paper Mill;Updated to Retraction;,Bioscience Reports,10.1042/BSR-20160542_EOC,10.1042/bsr20160542,,
958,Compromised Peer Review;Investigation by Journal/Publisher;,Molecular Biology Reports,10.1007/s11033-015-3887-5,10.1007/s11033-014-3161-2,,
23410,Concerns/Issues about Data;Unreliable Results and/or Conclusions;,BJOG: British Journal of Obstetrics and Gynaecology,10.1111/1471-0528.16164,10.1111/1471-0528.15003,,
23498,Author Unresponsive;Concerns/Issues about Results and/or Conclusions;Duplication of Data;,Cancer Gene Therapy,10.1038/s41417-020-0177-8,10.1038/cgt.2015.6,,
49937,Concerns/Issues about Image;Error in Image;Updated to Retraction;,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2023.126045,10.1016/j.ijbiomac.2022.09.134,,
481,Falsification/Fabrication of Data;Investigation by Company/Institution;Misconduct - Official Investigation(s) and/or Finding(s);Misconduct by Author;,Cell Metabolism,10.1016/j.cmet.2015.11.010,10.1016/j.cmet.2012.10.005,,
19921,Plagiarism of/in Article;,Journal of Endodontics,10.1016/j.joen.2018.12.009,10.1016/j.joen.2018.07.007,,
38141,Error in Text;Updated to Retraction;,International Journal of Nanomedicine,10.2147/IJN.S224515,10.2147/ijn.s202404,,
45950,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9802457,10.1155/2021/2426298,,
35251,Concerns/Issues about Data;Concerns/Issues about Image;Duplication of/in Image;Original Data and/or Images not Provided and/or not Available;,Cancer Management and Research,10.2147/CMAR.S352194,10.2147/cmar.s243918,,
39037,Concerns/Issues about Data;Duplication of Data;Investigation by Journal/Publisher;Unreliable Data;Upgrade/Update of Prior Notice(s);,The American Journal of Tropical Medicine and Hygiene,10.4269/ajtmh.1073ret,10.4269/ajtmh.20-0873,,
46229,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9823936,10.1155/2021/7769581,,
17446,Concerns/Issues about Data;Investigation by Journal/Publisher;Manipulation of Results;Objections by Third Party;Upgrade/Update of Prior Notice(s);,ACS Biomaterials Science & Engineering,10.1021/acsbiomaterials.8b00123,10.1021/acsbiomaterials.7b00089,,
27797,Error in Methods;Results Not Reproducible;Unreliable Data;,Journal of Drug Targeting,10.1080/1061186X.2021.1889798,10.1080/1061186x.2020.1841213,,
22343,Error in Data;Error in Methods;Error in Results and/or Conclusions;,Physical Review Letters,10.1103/PhysRevLett.124.039901,10.1103/physrevlett.120.237201,,
12295,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;,DNA and Cell Biology,10.1089/dna.2017.3798.retract,10.1089/dna.2017.3798,,
49269,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9808707,10.1155/2021/3273347,,
36676,Error in Data;,Cell Cycle,10.1080/15384101.2022.2046811,10.1080/15384101.2019.1669388,,
48518,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9864985,10.1155/2022/6488935,,
4468,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Error in Data;Error in Results and/or Conclusions;,Malaria Research and Treatment,10.1155/2014/845487,10.1155/2013/426040,,
4610,Duplication of/in Article;,Contemporary Clinical Dentistry,,10.4103/0976-237x.94558,,
38303,Falsification/Fabrication of Data;Investigation by Journal/Publisher;Investigation by Third Party;Objections by Third Party;,European Journal of Obstetrics & Gynecology and Reproductive Biology,10.1016/j.ejogrb.2022.07.002,10.1016/j.ejogrb.2015.08.025,,
55933,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Occupational Therapy International,10.1155/2023/9862061,10.1155/2022/2623656,,
43510,Concerns/Issues about Authorship/Affiliation;Concerns/Issues about Image;Compromised Peer Review;,PLoS One,10.1371/journal.pone.0282978,10.1371/journal.pone.0053176,,
44135,Notice - Limited or No Information;Upgrade/Update of Prior Notice(s);,Molecular Therapy,10.1016/j.ymthe.2023.03.023,10.1016/j.ymthe.2019.09.024,,
48002,Concerns/Issues about Data;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Unreliable Results and/or Conclusions;,Computational and Mathematical Methods in Medicine,10.1155/2023/9795312,10.1155/2021/2376391,,
61136,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Applied Bionics and Biomechanics,10.1155/2023/9823246,10.1155/2022/1790104,,
22959,Contamination of Cell Lines/Tissues;,The Journal of Biological Chemistry,10.1074/jbc.AAC120.013256,10.1074/jbc.m114.581702,,
38172,Duplication of/in Image;Investigation by Third Party;Original Data and/or Images not Provided and/or not Available;Paper Mill;,Life Sciences,10.1016/j.lfs.2022.120745,10.1016/j.lfs.2019.116948,,
28051,Error in Data;,European Review for Medical and Pharmacological Sciences,10.26355/eurrev_202101_24607,10.26355/eurrev_202006_21659,,
45903,Concerns/Issues about Data;Concerns/Issues about Human Subject Welfare;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Lack of IRB/IACUC Approval and/or Compliance;Unreliable Results and/or Conclusions;,Evidence-Based Complementary and Alternative Medicine,10.1155/2023/9876457,10.1155/2022/1323321,,
40648,Concerns/Issues about Data;Error in Analyses;Error in Data;Results Not Reproducible;,Science,10.1126/science.adf7575,10.1126/science.aag2792,,
53046,Concerns/Issues about Data;Lack of Approval from Third Party;Removed;,Current Research in Food Science,10.1016/j.crfs.2023.100498,10.1016/j.crfs.2023.100465,,
42786,Duplication of/in Image;Investigation by Third Party;Paper Mill;,International Journal of Oncology,10.3892/ijo.2023.5485,10.3892/ijo.2015.3214,,
56216,Concerns/Issues about Data;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Referencing/Attributions;Concerns/Issues about Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;Paper Mill;Computer-Aided Content or Computer-Generated Content;Unreliable Results and/or Conclusions;,Journal of Healthcare Engineering,10.1155/2023/9796878,10.1155/2021/5683433,,
26778,Concerns/Issues about Data;,Journal of Physiology and Biochemistry,10.1007/s13105-019-00698-0,10.1007/s13105-019-00698-0,,
23015,Duplication of/in Image;Manipulation of Images;,OncoTargets and Therapy,10.2147/OTT.S254588,10.2147/ott.s205853,,
26402,Error in Analyses;Error in Data;Error in Results and/or Conclusions;Upgrade/Update of Prior Notice(s);,Nature,10.1038/s41586-021-03373-x,10.1038/nature26142,,
40118,Date of Article and/or Notice Unknown;Duplication of/in Article;,Angewandte Chemie,10.1002/anie.202105669,10.1002/anie.202105669,,
37496,Original Data and/or Images not Provided and/or not Available;Unreliable Results and/or Conclusions;,Cancer Management and Research,10.2147/CMAR.S375355,10.2147/cmar.s275003,,
1709,Plagiarism of/in Article;,Clinical Rheumatology,10.1007/s10067-010-1628-7,10.1007/s10067-010-1539-7,,
5448,Duplication of/in Image;Investigation by Company/Institution;Manipulation of Images;Misconduct - Official Investigation(s) and/or Finding(s);,Journal of Cellular Biochemistry,10.1002/jcb.25588,10.1002/jcb.23150,,
